,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,caitoz,correct,author,superstit,enforc,money,survivior,nowthisnew,davidhogg111,focu,non,activist,ill,doesn’t,mockdeselfi,pra,moment,arrest,shut,ohar,airport,protest,freearua33,wet,rain,“the,tumwin,bc,lock,it’,everi,law,mass,shoot,archiv,gun,violenc,pretending…,lrihendri,americashometv,care,o…,man,democrat,chicago,chang,great,foxnew,slumber,beautyeveryday
1,obvious,transit,ballot…,ayannapressley,7am,votese,8pm,foxnew,aren’t,let’,situat,think,saracarterdc,deboi,nwzchic,amcarmack,shut,lead,epidem,enough,health,possibl,great,pupil,us,presenc,domest,five,kille…,need,shot,citymelani,kept,exhibit,that…,violenc,america,choic,caus,gun,ignor,phillip,teenvogu,other,followiamlsco,protest,rahm,chicago,citat,cours
2,logic,signific,value…,discrimin,exist,billclinton,"

good",racism,inequa…,polit,march,nra,nfl,shannonrwatt,s…,san,sqalid2001,capabl,came,victim,cours,brianpklein,kylegriffin1,indefinit,w…,crimin,ayannapressley,changecantwait,young,kill,llw🧡💔,violent,store,hogg,levi,twitter,multipl,prevent,stand,comic,nerf,polic,american,gun,vote,fight,violenc,ayanna,chicago,nowthi
3,poll,cdnpoli,rig,lowimpulsecontrolamerican,pleas,sycoph,now🤔,cana…,illeg,foxnew,theeconomist,metalhead684,williamleg,sclancy79,ceo,protest,noth,address,gun,huh,katrina,airport,fudd,scope,commit,"neveragainmsd

emma4change
davidhogg111
al3xw1nd
jaclyncorin
cameronkasky
shannonrwatts…",neveragain,corpor,trump,compani,america,god,persist,resist,leadership,comstock,loudoun,prevent,oh,chicago,stop,,chicagopolicedepart,brand,👏👏👏👏👏👏👏👏,stakehold,nora,levi’,levi,levistraussco
4,burn,bomb,manchest,controversi,argument,murder,brand,she,alternati…,chicago’,buy,👏👏👏👏👏👏,citi,war,closet,violenc,fight,crimin,least,smh,worthi,women’,strongli,cruz,cool,everytown,thank,common,😂😂😂,kill,love,proud,oscar,come,gang,pdacosta,kimberrri,gun,gunhump,iamlsco,serv,chicago,young,levi’,boycottnik,lesbian,ditto,levistraussco,jean,levi
5,mention,suicid,littl,👟👟,levi’s👖,warn,american,senpatrobert,preventio…,marchforourl,mayorjenni,harmlessyarddog,commut,noshoahford,vrotherofflow,unnecessari,“not,realdonaldtrump,buy,nfl,student,offer,vote,send,argument,caus,thank,shannonrwatt,levistraussco,take,give,illeg,polit,head,kaepernick7,🙄🙄🙄,shoot,stand,gun,hashtagit,she’,meganranney,ye,levi’,,jean,👍🏻❤️,stfu,buylevi,levi
6,encourag,shoot,cspan,constitu,claralionelfdn,foundat,leadership,enought,worri,gun,repres,jenniferwexton,comment,happier,compani,speech,protest,offic,ceo,epidem,everyon,prevent,nra,solut,stand,th…,view,end,ban,run,incred,lost,state,and…,feinstein,homi,perpetr,donat,everytown,☆☆☆,support,chicago,jean,promot,levi’,🙏🏼🙏🏼🙏🏼,enoughisenough,control,levistraussco,levi
7,shot,redneck,whether,wear,o…,levi’,thanksobama,curb,activist,ben,black,campu,close,drop,2a,state,youngboy,illeg,mayoremanuel,davidaxelrod,citi,zipillinoi,guy…,jacobawohl,realjok3r3,purpos,violenc,cnn,dick,that,survivor,nratv,nra,patriot,levistrausssa,crazi,mayb,save,levistraussco,blown,chicago,stopkavanuagh,💪🏼🙌🏼jeffgohog,👖👖👖👖👖🧡🧡🧡,coryhenshaw,"cnn
coward",😭😂,wow,cours,levi
8,rude,piec,potu,brettkavanaugh,shake,tool,despic,sink,fed,pant,parkland,color,father,brandstakingstand,msnbc,guttenberg,disgrac,classi,capabl,say,kavenaugh,holi,desper,unbeliev,shop,chicago,kid,unaccept,whoa,easi,sad,america,tell,judg,gop,shame,outrag,fred,guy,scotu,guillotin,maddow,sorri,,disgust,levi,stopkavanaugh,coward,wow,kavanaugh
9,eeeeeem,holi,victim,retweet,nra,jean,stopkavanuagh,joshuaadougla,realiti,guttenberg,brettkavanaugh,wattttaaaaguyyyyyi,expect,million,pathet,daughter,confirm,chill,surpris,coward,man,lion,disgrac,refus,god,judg,peopl,father,didn’t,mr,unbeliev,viral,nokavanaugh,gop,sink,levistraussco,nomine,aw,shake,fred,disgust,levi,senat,shame,stopkavanagh,republican,stopkavanaugh,fredguttenberg,wow,kavanaugh
